2021-01-02,236
2021-01-03,237
2021-01-04,290
2021-01-05,221
2021-01-07,128
2021-01-09,293
2021-01-10,260
2021-01-11,204
2021-01-12,157
2021-01-13,180
2021-01-14,147
2021-01-16,228
2021-01-17,239
2021-01-18,193
2021-01-19,197
2021-01-20,189
2021-01-21,153
2021-01-22,58
2021-01-23,193
2021-01-24,232
2021-01-25,206
2021-01-26,234
2021-01-27,147
2021-01-28,135
2021-01-30,265
2021-01-31,280
2021-02-01,184
2021-02-02,168
2021-02-03,156
2021-02-04,112
2021-02-06,272
2021-02-07,211
2021-02-08,199
2021-02-09,146
2021-02-10,165
2021-02-11,92
2021-02-13,208
2021-02-14,225
2021-02-15,190
2021-02-16,208
2021-02-17,265
2021-02-18,150
2021-02-19,87
2021-02-20,196
2021-02-21,217
2021-02-22,173
2021-02-23,185
2021-02-24,212
2021-02-25,140
2021-02-27,271
2021-03-01,249
2021-03-02,175
2021-03-03,202
2021-03-04,85
2021-03-06,250
2021-03-07,214
2021-03-08,162
2021-03-09,178
2021-03-10,120
2021-03-11,95
2021-03-13,230
2021-03-14,208
2021-03-15,197
2021-03-16,147
2021-03-17,202
2021-03-18,157
2021-03-19,75
2021-03-20,201
2021-03-21,202
2021-03-22,208
2021-03-23,232
2021-03-24,187
2021-03-25,89
2021-03-27,304
2021-03-28,174
2021-03-29,222
2021-03-30,183
2021-03-31,175
2021-04-01,116
2021-04-03,342
2021-04-04,205
2021-04-05,199
2021-04-06,202
2021-04-07,198
2021-04-08,100
2021-04-10,281
2021-04-11,207
2021-04-12,219
2021-04-14,174
2021-04-15,233
2021-04-16,111
2021-04-17,293
2021-04-18,224
2021-04-19,218
2021-04-20,168
2021-04-21,139
2021-04-22,98
2021-04-24,265
2021-04-25,217
2021-04-26,232
2021-04-27,200
2021-04-28,233
2021-04-29,100
2021-05-02,276
2021-05-03,273
2021-05-04,242
2021-05-05,175
2021-05-06,85
2021-05-08,228
2021-05-09,209
2021-05-10,178
2021-05-11,213
2021-05-12,273
2021-05-13,137
2021-05-14,75
2021-05-15,226
2021-05-16,230
2021-05-17,85
2021-05-18,241
2021-05-19,239
2021-05-20,94
2021-05-22,246
2021-05-23,218
2021-05-24,192
2021-05-25,250
2021-05-26,188
2021-05-27,99
2021-05-29,259
2021-05-30,264
2021-05-31,237
2021-06-01,218
2021-06-02,158
2021-06-03,125
2021-06-05,248
2021-06-06,221
2021-06-07,164
2021-06-08,202
2021-06-09,192
2021-06-10,152
2021-06-11,72
2021-06-12,250
2021-06-13,267
2021-06-14,185
2021-06-15,182
2021-06-16,226
2021-06-17,148
2021-06-19,312
2021-06-20,223
2021-06-21,256
2021-06-22,227
2021-06-23,234
2021-06-24,108
2021-06-26,301
2021-06-27,248
2021-06-28,244
2021-06-29,227
2021-06-30,267
2021-07-01,144
2021-07-03,317
2021-07-04,314
2021-07-05,287
2021-07-06,315
2021-07-07,302
2021-07-08,214
2021-07-09,104
2021-07-10,282
2021-07-11,301
2021-07-12,299
2021-07-13,340
2021-07-14,237
2021-07-15,140
2021-07-17,323
2021-07-18,360
2021-07-19,273
2021-07-20,268
2021-07-21,281
2021-07-22,146
2021-07-24,363
2021-07-26,345
2021-07-27,351
2021-07-28,362
2021-07-29,123
2021-07-31,461
2021-08-01,326
2021-08-02,337
2021-08-03,591
2021-08-04,273
2021-08-05,292
2021-08-06,154
2021-08-07,391
2021-08-08,294
2021-08-09,331
2021-08-10,256
2021-08-11,321
2021-08-12,196
2021-08-14,474
2021-08-16,393
2021-08-18,393
2021-08-19,170
2021-08-21,316
2021-08-22,340
2021-08-23,324
2021-08-24,329
2021-08-25,318
2021-08-26,166
2021-08-28,369
2021-08-29,299
2021-08-30,298
2021-08-31,265
2021-09-01,311
2021-09-02,207
2021-09-03,57
2021-09-04,328
2021-09-05,283
2021-09-06,243
2021-09-07,205
2021-09-08,159
2021-09-09,122
2021-09-11,277
2021-09-12,270
2021-09-13,263
2021-09-14,185
2021-09-15,203
2021-09-16,131
2021-09-18,296
2021-09-19,216
2021-09-20,193
2021-09-21,205
2021-09-22,209
2021-09-23,164
2021-09-25,285
2021-09-26,193
2021-09-27,259
2021-09-28,266
2021-09-29,255
2021-09-30,234
2021-10-01,71
2021-10-02,267
2021-10-03,239
2021-10-04,249
2021-10-05,204
2021-10-06,221
2021-10-07,91
2021-10-09,245
2021-10-10,221
2021-10-11,232
2021-10-13,232
2021-10-14,108
2021-10-16,280
2021-10-17,231
2021-10-18,193
2021-10-19,194
2021-10-20,246
2021-10-21,109
2021-10-23,272
2021-10-24,203
2021-10-25,267
2021-10-26,237
2021-10-27,269
2021-10-28,156
2021-10-29,63
2021-10-30,232
2021-10-31,280
2021-11-01,67
2021-11-02,236
2021-11-03,264
2021-11-04,97
2021-11-06,232
2021-11-07,219
2021-11-08,200
2021-11-09,103
2021-11-10,223
2021-11-11,132
2021-11-13,262
2021-11-14,222
2021-11-15,208
2021-11-16,179
2021-11-17,212
2021-11-18,90
2021-11-20,238
2021-11-21,181
2021-11-22,137
2021-11-23,211
2021-11-24,94
2021-11-25,201
2021-11-26,92
2021-11-27,261
2021-11-28,274
2021-11-29,177
2021-11-30,208
2021-12-01,207
2021-12-02,111
2021-12-04,290
2021-12-05,241
2021-12-07,287
2021-12-09,141
2021-12-11,330
2021-12-12,278
2021-12-13,158
2021-12-14,189
2021-12-15,200
2021-12-16,90
2021-12-18,295
2021-12-19,227
2021-12-20,238
2021-12-21,135
2021-12-22,178
2021-12-23,196
2021-12-24,120
2021-12-25,187
2021-12-26,220
2021-12-27,262
2021-12-28,355
2021-12-29,256
